"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-20","8.05","0.00",,"89","65",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-21","9.40","0.00",,"87","64",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-22","8.50","0.01",,"88","71","    1",,,,,,,"    1",,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-23","7.61","0.00",,"89","68","    1",,,,,,,"    1",,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-24","8.95","0.00",,"90","68","    1",,,,,,,,,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-25","9.62","0.00",,"93","70","    1",,,,,,,"    1",,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-26","10.29","0.00",,"92","74",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-27","12.75","0.00",,"92","74",,,,,,,,"    1",,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-28","11.41","0.01",,"84","78",,,,,,,,,,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-29","11.41","4.33",,"85","67","    1",,"    1",,,,,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-30","8.05","0.05",,"83","71","    1",,,,,,,"    1",,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-05-31","5.59","1.57",,"79","71","    1",,"    1",,,,,"    1",,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-06-01","5.37","0.05",,"82","72","    1",,"    1",,,,,"    1",,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-06-02","3.13","0.00",,"91","72","    1",,,,,,,"    1",,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-06-03","5.59","0.00",,"91","72","    1",,,,,,,"    1",,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-06-04","3.80","0.00",,"92","71","    1",,,,,,,"    1",,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-06-05","4.70","0.00",,"91","71","    1",,,,,,,"    1",,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-06-06","5.37","0.00",,"92","71","    1",,,,,,,"    1",,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-06-07","5.37","0.00",,"93","69","    1",,,,,,,"    1",,,,,,,,,,"    1"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-06-08","4.25","0.00",,"93","72","    1",,,,,,,"    1",,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-06-09","5.82","0.00",,"94","73",,,,,,,,,,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-06-10","5.59","0.00",,"94","73","    1",,,,,,,"    1",,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-06-11","6.04","0.00",,"91","71","    1",,,,,,,"    1",,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-06-12","2.46","0.00",,"96","67","    1",,,,,,,,,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-06-13","6.49","0.00",,"100","75",,,"    1",,,,,,,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-06-14","6.93","0.00",,"91","71",,,,,,,,"    1",,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-06-15","8.72","0.00",,"92","67","    1",,,,,,,"    1",,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-06-16","13.42","0.02",,"89","76",,,,,,,,,,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-06-17","10.07","1.43",,"87","69","    1","    1","    1",,,,,"    1",,,,,,,"    1",,,
